File Name,Distance Threshold,Rate,Path Cost,Iterations,Time Cost
test_1,10,0,219.05069776726015,16.1,0.00020159085591634114
test_1,10,0.25,215.28617784587007,14.4,0.00015052159627278647
test_1,10,0.5,216.43491279068485,14.666666666666666,6.667772928873698e-05
test_1,10,0.75,212.09223459538433,15.366666666666667,0.0001344442367553711
test_1,50,0,212.01201425934542,15.966666666666667,0.00011711915334065756
test_1,50,0.25,221.71839088662145,16.333333333333332,0.0002185344696044922
test_1,50,0.5,219.71745207352427,16.166666666666668,8.400281270345052e-05
test_1,50,0.75,214.06919475849716,15.033333333333333,0.00011761983235677083
test_1,100,0,216.03068095973916,15.533333333333333,0.0001690069834391276
test_1,100,0.25,212.94254049458922,15.1,0.00018374125162760416
test_1,100,0.5,216.4420138944745,16.066666666666666,0.00011720657348632813
test_1,100,0.75,217.25586617597412,14.9,6.664594014485678e-05
test_2,10,0,476.15531328734147,57.9,0.001808460553487142
test_2,10,0.25,487.1911129163106,57.766666666666666,0.002284812927246094
test_2,10,0.5,461.7479222967953,51.06666666666667,0.001746058464050293
test_2,10,0.75,468.92098506745305,57.1,0.0020578861236572265
test_2,50,0,462.6117669566135,50.4,0.0017596244812011718
test_2,50,0.25,478.6486900770793,53.733333333333334,0.0017797549565633137
test_2,50,0.5,481.8511264766417,51.63333333333333,0.0017297188440958658
test_2,50,0.75,446.22413584441534,48.13333333333333,0.001651763916015625
test_2,100,0,447.4819826116562,48.96666666666667,0.0015420993169148764
test_2,100,0.25,447.4977085080725,51.666666666666664,0.0018033266067504882
test_2,100,0.5,478.67435557032644,51.46666666666667,0.001974948247273763
test_2,100,0.75,477.0833142076746,52.266666666666666,0.0019443273544311524
test_3,10,0,1142.9669559205167,594.6333333333333,0.23577614625295004
test_3,10,0.25,1152.2303799181211,616.1333333333333,0.25514241059621173
test_3,10,0.5,1160.3687401729844,581.9,0.2213541587193807
test_3,10,0.75,1151.951394266274,609.7666666666667,0.24438300132751464
test_3,50,0,1155.672344379743,635.1,0.26020540396372477
test_3,50,0.25,1155.6539757388766,620.3666666666667,0.25569652716318764
test_3,50,0.5,1147.3546208528774,560.8666666666667,0.20557258129119874
test_3,50,0.75,1160.6255204495972,594.4333333333333,0.22803526719411213
test_3,100,0,1157.8804552474069,599.5,0.23710680802663167
test_3,100,0.25,1144.1326166942702,562.8666666666667,0.20586012999216716
test_3,100,0.5,1163.5536662019795,572.3333333333334,0.21583994229634604
test_3,100,0.75,1139.1678040740355,569.2666666666667,0.21987251440684
test_4,10,0,792.4995142869642,135.33333333333334,0.010932413736979167
test_4,10,0.25,812.1854456070045,134.0,0.011460407574971517
test_4,10,0.5,812.0928790481844,136.26666666666668,0.01138451099395752
test_4,10,0.75,772.3444891385651,127.8,0.010477765401204427
test_4,50,0,788.1855608837308,124.96666666666667,0.009764504432678223
test_4,50,0.25,812.0237746261121,138.3,0.012362082799275717
test_4,50,0.5,759.6778452812507,134.23333333333332,0.011473393440246582
test_4,50,0.75,808.1450407932763,142.23333333333332,0.012904063860575358
test_4,100,0,781.3952841179249,139.9,0.012344940503438314
test_4,100,0.25,779.8179066460588,138.1,0.011629263559977213
test_4,100,0.5,798.3145193576603,137.3,0.011427720387776693
test_4,100,0.75,780.1392338895529,138.16666666666666,0.012739801406860351
test_5,10,0,1301.8878669461997,559.0666666666667,0.24156848589579263
test_5,10,0.25,1278.2156821054452,528.1666666666666,0.21604338486989338
test_5,10,0.5,1286.1187267834096,564.9666666666667,0.25375900268554685
test_5,10,0.75,1299.299650675588,525.0666666666667,0.21581669648488364
test_5,50,0,1296.2600174984052,560.4,0.23263742923736572
test_5,50,0.25,1306.5737129396048,549.4,0.22368483543395995
test_5,50,0.5,1304.6840223655015,563.7666666666667,0.2511234919230143
test_5,50,0.75,1280.866808903263,531.1,0.21164376735687257
test_5,100,0,1299.9114763561447,536.6,0.2167898416519165
test_5,100,0.25,1343.3912893092197,599.2333333333333,0.26591631571451824
test_5,100,0.5,1271.2886798253894,512.0,0.20633923212687175
test_5,100,0.75,1310.403721219111,527.9333333333333,0.215939466158549
test_6,10,0,670.4650218763793,292.43333333333334,0.06886782646179199
test_6,10,0.25,654.8637960698154,245.66666666666666,0.05578358173370361
test_6,10,0.5,655.7385417954243,238.6,0.05172537962595622
test_6,10,0.75,653.4797316460327,260.1666666666667,0.06179173787434896
test_6,50,0,670.1293590054466,254.26666666666668,0.05632389386494954
test_6,50,0.25,655.4916946677325,262.53333333333336,0.05649858315785726
test_6,50,0.5,645.3355136668243,241.0,0.05072148640950521
test_6,50,0.75,660.3626885709637,259.1666666666667,0.06084133783976237
test_6,100,0,654.1676902129556,248.63333333333333,0.055043546358744304
test_6,100,0.25,666.6642429232219,246.06666666666666,0.05433359146118164
test_6,100,0.5,657.4241241410992,252.36666666666667,0.052833151817321775
test_6,100,0.75,653.9791381767767,265.43333333333334,0.05922717253367106
